LON,LAT,ANNUAL
-38.491,-12.513,4278
-38.301,-12.531,4398
-44.975,-12.362,5950
-41.773,-12.417,4501
-40.903,-12.356,4093
-3.950,-12.406,4087
-39.251,-12.428,4243
-39.118,-12.434,4277
-38.950,-12.435,4212
-38.754,-12.398,4236
-38.620,-12.404,4148
-38.338,-12.431,4352
-38.375,-12.354,4352
-44.863,-12.316,5870
-44.539,-12.308,5937
-42.890,-12.318,6284
-41.167,-12.279,3913
-40.493,-12.282,4016
-39.308,-12.316,4170
-38.967,-12.267,4188
-38.769,-12.327,4237
-38.640,-12.303,4230
-38.041,-12.255,4614
-44.419,-12.237,5956
-4.322,-12.178,6307
-41.616,-12.243,4515
-39.736,-12.157,4145
-3.933,-12.160,4125
-39.244,-12.152,4060
-38.748,-12.249,4243
-3.820,-12.214,4376
-45.797,-1.209,5464
-44.997,-12.144,6028
-43.899,-12.112,6047
-43.549,-12.065,6087
-41.643,-12.089,4657
-41.096,-12.079,3999
-40.360,-12.138,3887
-38.764,-12.051,4242
-38.643,-12.146,4262
-38.421,-1.213,4245
-38.497,-12.089,4245
-44.700,-12.009,6059
-44.261,-12.029,6055
-42.630,-11.995,5881
-41.638,-11.965,4847
-4.127,-11.967,4135
-40.169,-11.956,4025
-39.105,-11.975,4161
-38.975,-11.953,4180
-38.866,-12.025,4254
-38.630,-12.012,4263
-40.471,-1.187,3918
-38.764,-11.862,4204
-38.087,-11.940,4492
-37.949,-11.942,4475
-42.611,-1.182,6082
-42.059,-11.810,5250
-41.906,-11.761,5292
-4.079,-11.848,3983
-39.909,-11.812,4046
-39.611,-11.832,4197
-39.382,-11.807,4239
-39.121,-11.805,4269
-38.887,-11.774,4138
-38.356,-11.791,4323
-37.951,-1.179,4433
-37.613,-11.818,4861
-44.912,-1.175,5992
-4.177,-11.686,5291
-41.469,-11.692,5270
-40.555,-11.731,4031
-40.150,-1.171,4035
-39.835,-11.666,4128
-39.191,-11.749,4223
-39.010,-11.659,4254
-38.020,-1.166,4462
-38.081,-11.661,4462
-43.277,-11.557,6215
-42.020,-11.644,5314
-40.139,-1.161,4113
-39.630,-11.608,4268
-39.281,-11.560,4295
-38.805,-11.622,4263
-38.581,-1.160,4277
-37.786,-11.562,4609
-41.975,-11.542,5568
-41.157,-11.549,4442
-40.319,-11.527,3951
-40.024,-11.505,4114
-39.783,-11.471,4241
-39.527,-11.465,4226
-39.428,-11.494,4245
-39.078,-11.528,4332
-38.997,-1.148,4330
-38.152,-11.506,4444
-37.934,-11.482,4538
-4.251,-11.435,6205
-4.183,-11.386,5654
-41.439,-11.443,5339
-40.597,-11.431,4388
-4.030,-11.417,3984
-40.126,-11.411,4149
-40.009,-11.380,4158
-39.465,-11.413,4250
-38.327,-11.359,4416
-42.136,-11.340,5858
-41.985,-11.293,5760
-41.854,-11.304,5699
-41.655,-11.349,5643
-40.944,-11.256,4672
-39.375,-11.251,4263
-38.960,-11.333,4382
-38.218,-11.310,4487
-41.880,-11.227,5704
-4.051,-11.182,4532
-3.848,-11.238,4468
-43.146,-11.086,6140
-4.211,-1.114,5877
-40.432,-11.068,4169
-38.518,-11.104,4406
-45.190,-11.043,5818
-44.521,-10.996,5983
-42.400,-11.010,6238
-41.971,-11.044,5867
-41.081,-10.970,4871
-40.575,-10.954,4566
-40.298,-11.028,4199
-39.630,-1.097,4343
-38.790,-10.959,4618
-38.425,-11.043,4278
-40.420,-10.941,4403
-40.133,-10.862,4295
-42.725,-10.823,6245
-39.430,-10.826,4453
-39.210,-10.753,4450
-38.539,-10.838,4390
-44.043,-10.723,5816
-4.363,-10.718,6056
-41.326,-10.731,5187
-40.368,-10.744,4187
-40.133,-10.740,4323
-39.854,-10.691,4410
-39.495,-10.665,4431
-3.829,-10.681,4399
-37.863,-10.686,4401
-40.276,-10.572,4222
-38.613,-1.058,4521
-38.383,-10.595,4367
-38.212,-1.059,4342
-40.320,-1.051,4631
-40.187,-10.460,4255
-39.016,-10.508,4665
-38.116,-10.536,4365
-39.332,-10.438,4531
-38.332,-10.413,4349
-38.205,-10.369,4395
-40.195,-10.259,4500
-39.834,-10.344,4577
-3.842,-10.335,4325
-37.925,-10.284,4457
-3.835,-10.076,4487
-4.248,-1.000,6241
-37.894,-10.012,4414
-39.028,-9.899,4793
-39.480,-9.842,4921
-41.879,-9.742,6127
-38.129,-974,4652
-42.085,-9.620,6053
-43.009,-952,5955
-40.795,-9.469,5668
-40.504,-9.417,5552
-38.222,-9.399,4957
-38.260,-9.343,5082
-40.974,-9.174,5624
-39.053,-9.163,5091
-39.905,-899,5323
-39.098,-8.970,5165
-38.780,-8.851,5539
-39.115,-8.724,5637
-39.072,-7.829,5443
-39.006,-7.686,5372
-39.277,-7.586,5357
-39.116,-7.534,5450
-38.986,-749,5719
-39.049,-7.361,5794
-38.771,-7.386,5775
-4.046,-7.284,5370
-39.309,-7.301,5618
-38.942,-7.301,5788
-40.136,-7.214,5420
-39.738,-7.184,5341
-39.410,-723,5655
-39.316,-7.219,5708
-39.141,-7.249,5743
-38.779,-718,5749
-40.376,-7.072,5522
-40.028,-709,5507
-39.675,-7.089,5680
-39.736,-6.999,5666
-39.283,-7.034,5662
-39.871,-6.871,5570
-39.565,-6.922,5624
-39.218,-6.889,5750
-38.975,-6.934,5832
-39.987,-6.775,5469
-39.295,-6.790,5761
-38.718,-6.783,5985
-39.758,-6.683,5539
-38.971,-6.745,5916
-3.871,-6.720,6001
-40.122,-6.569,5372
-39.061,-6.601,5895
-38.701,-6.639,5939
-39.902,-654,5481
-3.953,-6.521,5575
-39.497,-6.533,5621
-39.290,-6.363,5671
-38.856,-6.397,5875
-40.166,-6.317,5300
-38.906,-6.252,5796
-40.691,-6.208,5116
-39.201,-6.247,5687
-3.987,-6.123,5315
-39.448,-6.090,5377
-40.297,-5.986,5199
-38.463,-6.036,5892
-38.346,-6.028,5861
-39.257,-5.915,5485
-3.862,-5.903,5833
-40.701,-5.843,4981
-39.417,-5.801,5334
-38.292,-5.813,5867
-39.630,-5.739,5243
-39.188,-5.673,5486
-3.901,-5.719,5591
-38.158,-5.713,5883
-39.371,-5.583,5294
-38.764,-5.606,5807
-40.772,-5.526,5016
-39.708,-5.454,5024
-38.462,-546,5671
-38.275,-5.509,5752
-40.309,-5.388,5254
-38.914,-5.305,5451
-38.270,-5.276,5670
-4.065,-5.168,5087
-39.289,-5.191,5278
-38.129,-5.244,5674
-3.973,-511,5057
-38.371,-5.098,5685
-3.809,-5.144,5596
-37.981,-5.072,5636
-39.016,-4.967,5281
-38.637,-4.970,5527
-4.075,-490,4978
-37.972,-4.927,5582
-40.320,-4.832,5135
-4.007,-4.791,4743
-39.573,-4.846,4884
-39.135,-4.840,5180
-38.824,-4.821,5362
-37.781,-4.832,5590
-40.924,-4.746,5544
-40.831,-4.746,4927
-40.564,-4.705,5113
-37.966,-4.737,5592
-37.833,-4.672,5688
-37.353,-4.713,5957
-40.200,-4.644,5228
-38.928,-4.556,5075
-37.768,-4.559,5810
-40.712,-4.539,4800
-39.621,-4.527,4989
-38.905,-4.456,4886
-38.594,-4.486,5308
-37.798,-4.452,5219
-40.903,-4.413,5399
-39.316,-435,5182
-39.047,-4.413,5133
